"log_2(N)","log_10(T)","log_10(S)","<Gain bits/nobits>","err_<Gain bits/nobits>"
2.00000000e+00,1.00000000e+00,3.00000000e+00,5.11126492e+01,3.90591735e+00
3.00000000e+00,1.00000000e+00,3.00000000e+00,3.99411047e+01,4.34544683e+00
4.00000000e+00,1.00000000e+00,3.00000000e+00,3.26869539e+01,2.82954477e+00
