"log_2(N)","log_10(T)","log_10(S)","<Gain bits/nobits>","err_<Gain bits/nobits>"
2.00000000e+00,1.00000000e+00,4.00000000e+00,4.86000000e+01,4.05178973e+00
3.00000000e+00,1.00000000e+00,4.00000000e+00,3.58442857e+01,4.64425720e+00
4.00000000e+00,1.00000000e+00,4.00000000e+00,2.86214286e+01,1.06332651e+00
5.00000000e+00,1.00000000e+00,4.00000000e+00,2.47583333e+01,1.47992221e+00
